"rank","full_name","relation_kind","relation_level","focus","note","stars","forks","language","license","updated_at","description","html_url","topics","readme_url","evidence"
"5","jivoi/awesome-osint","ru_ua","direct_ru_ua","Ukraine/Russia resources and Russian platforms","README содержит paste.in.ua, Yandex Russia и VKontakte sections.","27030","3731","","NOASSERTION","2026-06-24T14:49:17Z",":scream: A curated list of amazingly awesome OSINT","https://github.com/jivoi/awesome-osint","awesome-list; osint; website","https://raw.githubusercontent.com/jivoi/awesome-osint/master/README.md","README содержит paste.in.ua, Yandex Russia и VKontakte sections."
"7","gildas-lormeau/SingleFile","ru_ua","weak_context","Yandex browser support","Только слабый региональный сигнал: поддержка Yandex Browser.","21684","1362","JavaScript","AGPL-3.0","2026-06-24T15:29:42Z","Web Extension for saving a faithful copy of a complete web page in a single HTML file","https://github.com/gildas-lormeau/SingleFile","annotations; archive; archiver; auto-save; browser; chrome; chrome-extension; cli; firefox; firefox-addon; javascript; offline-reading; osint; puppeteer; screenshot; selenium; self-extracting; self-extracting-zip; snapshot; web-clipper","https://raw.githubusercontent.com/gildas-lormeau/SingleFile/master/README.MD","Только слабый региональный сигнал: поддержка Yandex Browser."
"10","smicallef/spiderfoot","ru_ua","ru_platform_or_domain","Yandex DNS module","Источник/модуль Yandex DNS.","19060","3134","Python","MIT","2026-06-24T15:13:06Z","SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.","https://github.com/smicallef/spiderfoot","attacksurface; cti; cybersecurity; footprinting; hacking; information-gathering; information-security; infosec; intelligence-gathering; osint; osint-framework; osint-reconnaissance; osint-tool; pentesting; python; recon; security-tools; threat-intelligence; threatintel","https://raw.githubusercontent.com/smicallef/spiderfoot/master/README.md","Источник/модуль Yandex DNS."
"20","megadose/holehe","ru_ua","ru_platform_or_domain","mail.ru recovery check","Поддержка mail.ru в списке сервисов проверки email.","11371","1382","Python","GPL-3.0","2026-06-24T15:09:11Z","holehe allows you to check if the mail is used on different sites like twitter, instagram and will retrieve information on sites with the forgotten password function.","https://github.com/megadose/holehe","ebay; email; emails; information-gathering; instagram; open-source-intelligence; osint; osint-python; osint-tools; pypi; python; social-network; tellonym; trio; twitter","https://raw.githubusercontent.com/megadose/holehe/master/README.md","Поддержка mail.ru в списке сервисов проверки email."
"21","edoardottt/awesome-hacker-search-engines","ru_ua","ru_platform_or_domain","Geocam.ru / Yandex","Содержит Geocam.ru и Yandex как OSINT/search resources.","10806","1033","Shell","MIT","2026-06-23T12:05:26Z","A curated list of awesome search engines useful during Penetration testing, Vulnerability assessments, Red/Blue Team operations, Bug Bounty and more","https://github.com/edoardottt/awesome-hacker-search-engines","awesome; awesome-list; awesome-lists; bugbounty; cve; dns; exploit; hacking; hacking-tools; hacktoberfest; osint; osint-tool; redteam; redteaming; search-engine; security; security-tools; threat-intelligence; vulnerabilities; wifi-network","https://raw.githubusercontent.com/edoardottt/awesome-hacker-search-engines/main/README.md","Содержит Geocam.ru и Yandex как OSINT/search resources."
"25","shmilylty/OneForAll","ru_ua","ru_platform_or_domain","Yandex search module","Использует Yandex как один из поисковых модулей для subdomain discovery.","9875","1434","Python","GPL-3.0","2026-06-24T08:09:57Z","OneForAll是一款功能强大的子域收集工具","https://github.com/shmilylty/OneForAll","altname; bugbounty; content-security-policy; crossdomainxml; information-gathering; nsec; oneforall; osint; pentest-tool; python; recon; subdomain; subdomain-bruteforcing; subdomain-collection; subdomain-crawler; subdomain-enumeration; subdomain-scanner; subdomain-takeover; subdomian-find; zone-transfers","https://raw.githubusercontent.com/shmilylty/OneForAll/master/README.md","Использует Yandex как один из поисковых модулей для subdomain discovery."
"27","BigBodyCobain/Shadowbroker","ru_ua","direct_ru_ua","Ukraine frontline layer","README упоминает Ukraine Frontline GeoJSON from DeepState Map.","9378","1464","Python","AGPL-3.0","2026-06-24T13:53:52Z","Open-source intelligence for the global theater. Track everything from the corporate/private jets of the wealthy, and spy satellites, to seismic events in one unified interface. Hook an AI agent up to have it parse through data and find previously unseen correlations. The knowledge is available to all but rarely aggregated in the open, until now.","https://github.com/BigBodyCobain/Shadowbroker","ads-b; adsb; air-force-one; aircraft; aircraft-tracking; airforce1; asdb; cctv; cctv-cameras; cctv-surveillance; earthquake-visualization; elonjet; maritime-surveillance; osint; osint-resources; osint-tool; sattelite; sattelite-imagery; sdr; surveillance","https://raw.githubusercontent.com/BigBodyCobain/Shadowbroker/main/README.md","README упоминает Ukraine Frontline GeoJSON from DeepState Map."
"30","cipher387/osint_stuff_tool_collection","ru_ua","direct_ru_ua","Russia/Ukraine transport and VK/Yandex resources","Коллекция содержит Russia/Belarus/Ukraine train map, photo-map.ru/VK and Yandex resources.","8283","937","HTML","","2026-06-24T14:45:13Z","A collection of several hundred online tools for OSINT","https://github.com/cipher387/osint_stuff_tool_collection","awesome; awesome-list; cybersecurity; geoint; hacking; humint; osint; socmint; tools; toolset","https://raw.githubusercontent.com/cipher387/osint_stuff_tool_collection/main/README.md","Коллекция содержит Russia/Belarus/Ukraine train map, photo-map.ru/VK and Yandex resources."
"47","snooppr/snoop","ru_ua","direct_ru_ua","RU/UA country filters","Русскоязычный инструмент; README содержит примеры поиска/исключения по UA/RU.","3952","446","Python","NOASSERTION","2026-06-23T09:51:47Z","Snoop — инструмент разведки на основе открытых данных (OSINT world)","https://github.com/snooppr/snoop","blueteam; ctf; geo; geocoder; infosec; ip; nickname; osint; parser; pentest; police; redteam; scanner; scraping; security; termux; username; username-checker; username-search; web-scraping","https://raw.githubusercontent.com/snooppr/snoop/master/README.md","Русскоязычный инструмент; README содержит примеры поиска/исключения по UA/RU."
"53","Astrosp/Awesome-OSINT-List","ru_ua","direct_ru_ua","Ukraine map / Yandex People","Содержит Ukraine Interactive map и Yandex People Search.","3492","447","Shell","GPL-3.0","2026-06-24T15:30:03Z","📡 Comprehensive collection of OSINT tools for cybersecurity professionals, researchers, and bug bounty hunters. Topics: information gathering, reverse search, red team, trust & safety, AI.","https://github.com/Astrosp/Awesome-OSINT-List","ai; ai-tools; awesome-list; bug-bounty; cybersecurity; information-gathering; osint; pentest; recon; red-team; reverse-search; security-tools; threat-intelligence","https://raw.githubusercontent.com/Astrosp/Awesome-OSINT-List/main/README.md","Содержит Ukraine Interactive map и Yandex People Search."
"61","ItIsMeCall911/Awesome-Telegram-OSINT","ru_ua","ru_platform_or_domain","TGStat.ru / VK DB","Telegram OSINT list с TGStat.ru и VK DB ссылками.","2747","263","","","2026-06-23T19:15:11Z","📚 A Curated List of Awesome Telegram OSINT Tools, Sites & Resources","https://github.com/ItIsMeCall911/Awesome-Telegram-OSINT","awesome; awesome-list; osint; osint-resources; telegram; telethon","https://raw.githubusercontent.com/ItIsMeCall911/Awesome-Telegram-OSINT/main/README.md","Telegram OSINT list с TGStat.ru и VK DB ссылками."
"63","cipher387/Dorks-collections-list","ru_ua","ru_platform_or_domain","Yandex dorks","Есть раздел Yandex dorks.","2685","392","","","2026-06-24T14:02:41Z","List of Github repositories and articles with list of dorks for different search engines","https://github.com/cipher387/Dorks-collections-list","awesome; awesome-list; cybersecurity; hacking; osint; pentest","https://raw.githubusercontent.com/cipher387/Dorks-collections-list/main/README.md","Есть раздел Yandex dorks."
"76","cipher387/API-s-for-OSINT","ru_ua","ru_platform_or_domain","VK / Odnoklassniki APIs","Содержит API Vkontakte и Odnoklassniki.","2345","305","","CC0-1.0","2026-06-24T05:00:58Z","List of API's for gathering information about phone numbers, addresses, domains etc","https://github.com/cipher387/API-s-for-OSINT","api; api-rest; awesome; awesome-list; cybersecurity; information-gathering; osint","https://raw.githubusercontent.com/cipher387/API-s-for-OSINT/main/README.md","Содержит API Vkontakte и Odnoklassniki."
"77","Alfredredbird/tookie-osint","ru_ua","weak_context","Russian localization","Слабый сигнал: README links include Russian translation.","2317","193","Python","MIT","2026-06-24T12:15:08Z","Tookie is a advanced OSINT information gathering tool that finds social media accounts based on inputs.","https://github.com/Alfredredbird/tookie-osint","cyber-security; cybersecurity; hacking-tool; hacking-tools; information-gathering; osint; osint-framework; osint-kali; osint-python; osint-reconnaissance; osint-resources; osint-tool; osint-toolkit; osint-tools; osinttool; parrot-os; python; python3; script","https://raw.githubusercontent.com/Alfredredbird/tookie-osint/main/README.md","Слабый сигнал: README links include Russian translation."
"82","Jieyab89/OSINT-Cheat-sheet","ru_ua","direct_ru_ua","Russia invasion Ukraine article / Russian services","Содержит Bellingcat материал по вторжению РФ в Украину, tvway.ru и Yandex Trends.","2029","306","Python","","2026-06-24T13:38:05Z","OSINT cheat sheet, list OSINT tools, wiki, dataset, article, book , red team OSINT for hackers and OSINT tips and OSINT branch. This repository will grow every time will research, there is a research, science and technology, tutorial. Please use it wisely.","https://github.com/Jieyab89/OSINT-Cheat-sheet","cheatsheet; cybersecurity; datasets; education; hacking; imint; information-gathering; information-security; journalism; masint; osint; osint-tool; osintwiki; reconnaissance; red-team; science; scraping; socmint; tools; wiki","https://raw.githubusercontent.com/Jieyab89/OSINT-Cheat-sheet/main/README.md","Содержит Bellingcat материал по вторжению РФ в Украину, tvway.ru и Yandex Trends."
"85","OffcierCia/On-Chain-Investigations-Tools-List","ru_ua","ru_platform_or_domain","shard.ru","В on-chain tool list есть shard.ru.","1905","244","","Unlicense","2026-06-21T05:41:46Z","Here we discuss how one can investigate crypto hacks and security incidents, and collect all the possible tools and manuals! PRs are welcome! If any tool is missing - please open PR!","https://github.com/OffcierCia/On-Chain-Investigations-Tools-List","aml; awesome; awesome-list; awesome-readme; awsome-lists; bitcoin; blockchain; due-diligence; ethereum; investigation; on-chain-analysis; on-chain-investigation; osint; tether; visualization","https://raw.githubusercontent.com/OffcierCia/On-Chain-Investigations-Tools-List/main/README.md","В on-chain tool list есть shard.ru."
"86","nitefood/asn","ru_ua","weak_context","Russian transit example","Слабый контекст: пример про Russian TRANSTELECOM transit.","1901","196","Shell","MIT","2026-06-24T09:08:57Z","ASN / RPKI validity / BGP stats / IPv4v6 / Prefix / URL / ASPath / Organization / IP reputation / IP geolocation / IP fingerprinting / Network recon / lookup API server / Web traceroute server","https://github.com/nitefood/asn","api; as-path; asn; asn-lookup; autonomous-systems; bash; bgp; fingerprinting; geolocation; incident-response; ip-lookup; ip-reputation; mtr; osint; recon; rpki; shodan; team-cymru; traceroute; whois","https://raw.githubusercontent.com/nitefood/asn/master/README.md","Слабый контекст: пример про Russian TRANSTELECOM transit."
