"rank","full_name","stars","forks","open_issues","language","license","updated_at","pushed_at","description","html_url","topics"
"1","sherlock-project/sherlock","85416","9992","298","Python","MIT","2026-06-24T15:30:00Z","2026-06-24T06:26:22Z","Hunt down social media accounts by username across social networks","https://github.com/sherlock-project/sherlock","cli; cti; cybersecurity; forensics; hacktoberfest; information-gathering; infosec; linux; osint; pentesting; python; python3; reconnaissance; redteam; sherlock; tools"
"2","koala73/worldmonitor","59499","9312","174","TypeScript","NOASSERTION","2026-06-24T15:38:45Z","2026-06-24T15:30:07Z","Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface","https://github.com/koala73/worldmonitor","ai; dashboard; geopolitics; monitoring; news; opensource; osint; palantir; situation"
"3","lissy93/web-check","33859","2772","80","TypeScript","MIT","2026-06-24T15:15:39Z","2026-06-15T20:55:23Z","🕵️‍♂️ All-in-one OSINT tool for analysing any website","https://github.com/lissy93/web-check","osint; privacy; security; security-tools; sysadmin"
"4","soxoj/maigret","33636","2511","42","Python","MIT","2026-06-24T15:09:24Z","2026-06-24T07:12:03Z","🕵️‍♂️ Collect a dossier on a person by username from 3000+ sites","https://github.com/soxoj/maigret","cli; cybersecurity; identification; information-gathering; infosec; investigation; open-source; osint; osint-framework; osint-python; pentesting; python; python3; reconnaissance; redteam; scraping; sherlock; social-network; socmint; username"
"5","jivoi/awesome-osint","27030","3731","2",,"NOASSERTION","2026-06-24T14:49:17Z","2026-06-22T14:22:09Z",":scream: A curated list of amazingly awesome OSINT","https://github.com/jivoi/awesome-osint","awesome-list; osint; website"
"6","qeeqbox/social-analyzer","23129","2197","27","JavaScript","AGPL-3.0","2026-06-24T15:09:34Z","2026-01-12T21:50:25Z","API, CLI, and Web App for analyzing and finding a person's profile in 1000 social media \ websites","https://github.com/qeeqbox/social-analyzer","analysis; analyzer; cli; information-gathering; javascript; nodejs; nodejs-cli; osint; pentest; pentesting; person-profile; profile; python; reconnaissance; security-tools; social-analyzer; social-media; sosint; username"
"7","gildas-lormeau/SingleFile","21684","1362","144","JavaScript","AGPL-3.0","2026-06-24T15:29:42Z","2026-02-24T15:52:53Z","Web Extension for saving a faithful copy of a complete web page in a single HTML file","https://github.com/gildas-lormeau/SingleFile","annotations; archive; archiver; auto-save; browser; chrome; chrome-extension; cli; firefox; firefox-addon; javascript; offline-reading; osint; puppeteer; screenshot; selenium; self-extracting; self-extracting-zip; snapshot; web-clipper"
"8","mukul975/Anthropic-Cybersecurity-Skills","20383","2367","31","Python","Apache-2.0","2026-06-24T15:36:02Z","2026-06-22T17:11:47Z","817 structured cybersecurity skills for AI agents · Mapped to 6 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND, NIST AI RMF & MITRE F3 (Fight Fraud) · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 29 security domains · Apache 2.0","https://github.com/mukul975/Anthropic-Cybersecurity-Skills","ai-agents; claude-code; cloud-security; cybersecurity; devsecops; ethical-hacking; incident-response; infosec; llm; malware-analysis; mcp; mitre-attack; nist-csf; osint; penetration-testing; red-team; security; security-automation; threat-hunting; threat-intelligence"
"9","mxrch/GHunt","19130","1671","66","Python","NOASSERTION","2026-06-24T13:41:01Z","2026-04-10T02:29:16Z","🕵️‍♂️ Offensive Google framework.","https://github.com/mxrch/GHunt","google; hideandsec; osint"
"10","smicallef/spiderfoot","19060","3134","269","Python","MIT","2026-06-24T15:13:06Z","2026-04-13T19:43:06Z","SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.","https://github.com/smicallef/spiderfoot","attacksurface; cti; cybersecurity; footprinting; hacking; information-gathering; information-security; infosec; intelligence-gathering; osint; osint-framework; osint-reconnaissance; osint-tool; pentesting; python; recon; security-tools; threat-intelligence; threatintel"
